id_sector,sector,id_subsector,subsector,id_energy_carrier,energy_carrier,id_end_use,end_use,id_end_use_level2,end_use_level2,year,unit,value
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,1,lighting,2019,kWh,2132031521
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,2,ICT,2019,kWh,421202295.1
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,3,mechanical_energy,2019,kWh,2260751359
3,GHD & Industry,31,agriculture,1,Electricity,4,domestic hot water,4,hot_water,2019,kWh,79651054.46
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,5,process_heating,2019,kWh,185043798.9
3,GHD & Industry,31,agriculture,1,Electricity,3,space heating,6,space_heating,2019,kWh,397506910
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,7,process_cooling,2019,kWh,27769908.25
3,GHD & Industry,31,agriculture,1,Electricity,2,space cooling,8,space_cooling,2019,kWh,586154680.7
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,1,lighting,2019,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,2,ICT,2019,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,3,mechanical_energy,2019,kWh,26623317604
3,GHD & Industry,31,agriculture,2,Light fuel oil,4,domestic hot water,4,hot_water,2019,kWh,18250076.35
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,5,process_heating,2019,kWh,94329292.74
3,GHD & Industry,31,agriculture,2,Light fuel oil,3,space heating,6,space_heating,2019,kWh,3804392507
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,7,process_cooling,2019,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,2,space cooling,8,space_cooling,2019,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,1,lighting,2019,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,2,ICT,2019,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,3,mechanical_energy,2019,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,4,domestic hot water,4,hot_water,2019,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,5,process_heating,2019,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,3,space heating,6,space_heating,2019,kWh,19166666.67
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,7,process_cooling,2019,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,2,space cooling,8,space_cooling,2019,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,1,lighting,2019,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,2,ICT,2019,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,3,mechanical_energy,2019,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,4,domestic hot water,4,hot_water,2019,kWh,234008490.5
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,5,process_heating,2019,kWh,351833208.2
3,GHD & Industry,31,agriculture,6,Natural Gas,3,space heating,6,space_heating,2019,kWh,6677988938
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,7,process_cooling,2019,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,2,space cooling,8,space_cooling,2019,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,1,lighting,2019,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,2,ICT,2019,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,3,mechanical_energy,2019,kWh,2057823885
3,GHD & Industry,31,agriculture,12,Biomass solid,4,domestic hot water,4,hot_water,2019,kWh,214460120.3
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,5,process_heating,2019,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,3,space heating,6,space_heating,2019,kWh,21837485393
3,GHD & Industry,31,agriculture,12,Biomass solid,1,appliance,7,process_cooling,2019,kWh,0
3,GHD & Industry,31,agriculture,12,Biomass solid,2,space cooling,8,space_cooling,2019,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,1,lighting,2019,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,2,ICT,2019,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,3,mechanical_energy,2019,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,4,domestic hot water,4,hot_water,2019,kWh,626732.6348
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,5,process_heating,2019,kWh,2578.125106
3,GHD & Industry,31,agriculture,13,District heating,3,space heating,6,space_heating,2019,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,1,appliance,7,process_cooling,2019,kWh,0
3,GHD & Industry,31,agriculture,13,District heating,2,space cooling,8,space_cooling,2019,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,1,lighting,2019,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,2,ICT,2019,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,3,mechanical_energy,2019,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,4,domestic hot water,4,hot_water,2019,kWh,9914952.939
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,5,process_heating,2019,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,3,space heating,6,space_heating,2019,kWh,149855640.7
3,GHD & Industry,31,agriculture,24,Renewables,1,appliance,7,process_cooling,2019,kWh,0
3,GHD & Industry,31,agriculture,24,Renewables,2,space cooling,8,space_cooling,2019,kWh,0
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,1,lighting,2020,kWh,2074473603
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,2,ICT,2020,kWh,409747820.2
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,3,mechanical_energy,2020,kWh,2199447824
3,GHD & Industry,31,agriculture,1,Electricity,4,domestic hot water,4,hot_water,2020,kWh,77487492.58
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,5,process_heating,2020,kWh,180036109.5
3,GHD & Industry,31,agriculture,1,Electricity,3,space heating,6,space_heating,2020,kWh,386691232
3,GHD & Industry,31,agriculture,1,Electricity,1,appliance,7,process_cooling,2020,kWh,27027527.9
3,GHD & Industry,31,agriculture,1,Electricity,2,space cooling,8,space_cooling,2020,kWh,570233216.1
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,1,lighting,2020,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,2,ICT,2020,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,3,mechanical_energy,2020,kWh,28086614711
3,GHD & Industry,31,agriculture,2,Light fuel oil,4,domestic hot water,4,hot_water,2020,kWh,26776528.84
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,5,process_heating,2020,kWh,139832711.9
3,GHD & Industry,31,agriculture,2,Light fuel oil,3,space heating,6,space_heating,2020,kWh,5594403177
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,7,process_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,2,space cooling,8,space_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,1,lighting,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,2,ICT,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,3,mechanical_energy,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,4,domestic hot water,4,hot_water,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,5,process_heating,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,3,space heating,6,space_heating,2020,kWh,16955277.78
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,7,process_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,2,space cooling,8,space_cooling,2020,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,1,lighting,2020,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,2,ICT,2020,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,3,mechanical_energy,2020,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,4,domestic hot water,4,hot_water,2020,kWh,237125927.2
