id_sector,id_subsector,subsector,id_energy_carrier,energy_carrier,year,unit,id_end_use,end_use,id_end_use_level2,end_use_level2,value
3,31,agriculture,3,Kohle,2019,kWh,1,appliance,1,lighting,0
3,31,agriculture,3,Kohle,2019,kWh,1,appliance,2,ICT,0
3,31,agriculture,3,Kohle,2019,kWh,1,appliance,3,mechanical_energy,0
3,31,agriculture,3,Kohle,2019,kWh,4,domestic hot water,4,hot_water,0
3,31,agriculture,3,Kohle,2019,kWh,1,appliance,5,process_heating,0
3,31,agriculture,3,Kohle,2019,kWh,3,space heating,6,space_heating,19166666.67
3,31,agriculture,3,Kohle,2019,kWh,1,appliance,7,process_cooling,0
3,31,agriculture,3,Kohle,2019,kWh,2,space cooling,8,space_cooling,0
3,31,agriculture,2,Kraftstoff,2019,kWh,1,appliance,1,lighting,0
3,31,agriculture,2,Kraftstoff,2019,kWh,1,appliance,2,ICT,0
3,31,agriculture,2,Kraftstoff,2019,kWh,1,appliance,3,mechanical_energy,26623317604
3,31,agriculture,2,Kraftstoff,2019,kWh,4,domestic hot water,4,hot_water,0
3,31,agriculture,2,Kraftstoff,2019,kWh,1,appliance,5,process_heating,0
3,31,agriculture,2,Kraftstoff,2019,kWh,3,space heating,6,space_heating,0
3,31,agriculture,2,Kraftstoff,2019,kWh,1,appliance,7,process_cooling,0
3,31,agriculture,2,Kraftstoff,2019,kWh,2,space cooling,8,space_cooling,0
3,31,agriculture,8,Heizöl,2019,kWh,1,appliance,1,lighting,0
3,31,agriculture,8,Heizöl,2019,kWh,1,appliance,2,ICT,0
3,31,agriculture,8,Heizöl,2019,kWh,1,appliance,3,mechanical_energy,0
3,31,agriculture,8,Heizöl,2019,kWh,4,domestic hot water,4,hot_water,18250076.35
3,31,agriculture,8,Heizöl,2019,kWh,1,appliance,5,process_heating,94329292.74
3,31,agriculture,8,Heizöl,2019,kWh,3,space heating,6,space_heating,3760531138
3,31,agriculture,8,Heizöl,2019,kWh,1,appliance,7,process_cooling,0
3,31,agriculture,8,Heizöl,2019,kWh,2,space cooling,8,space_cooling,0
3,31,agriculture,9,Flüssiggas,2019,kWh,1,appliance,1,lighting,0
3,31,agriculture,9,Flüssiggas,2019,kWh,1,appliance,2,ICT,0
3,31,agriculture,9,Flüssiggas,2019,kWh,1,appliance,3,mechanical_energy,0
3,31,agriculture,9,Flüssiggas,2019,kWh,4,domestic hot water,4,hot_water,0
3,31,agriculture,9,Flüssiggas,2019,kWh,1,appliance,5,process_heating,0
3,31,agriculture,9,Flüssiggas,2019,kWh,3,space heating,6,space_heating,43861369.19
3,31,agriculture,9,Flüssiggas,2019,kWh,1,appliance,7,process_cooling,0
3,31,agriculture,9,Flüssiggas,2019,kWh,2,space cooling,8,space_cooling,0
3,31,agriculture,6,Erdgas,2019,kWh,1,appliance,1,lighting,0
3,31,agriculture,6,Erdgas,2019,kWh,1,appliance,2,ICT,0
3,31,agriculture,6,Erdgas,2019,kWh,1,appliance,3,mechanical_energy,0
3,31,agriculture,6,Erdgas,2019,kWh,4,domestic hot water,4,hot_water,234008490.5
3,31,agriculture,6,Erdgas,2019,kWh,1,appliance,5,process_heating,351833208.2
3,31,agriculture,6,Erdgas,2019,kWh,3,space heating,6,space_heating,6677988938
3,31,agriculture,6,Erdgas,2019,kWh,1,appliance,7,process_cooling,0
3,31,agriculture,6,Erdgas,2019,kWh,2,space cooling,8,space_cooling,0
3,31,agriculture,12,Biomasse,2019,kWh,1,appliance,1,lighting,0
3,31,agriculture,12,Biomasse,2019,kWh,1,appliance,2,ICT,0
3,31,agriculture,12,Biomasse,2019,kWh,1,appliance,3,mechanical_energy,2057823885
3,31,agriculture,12,Biomasse,2019,kWh,4,domestic hot water,4,hot_water,214460120.3
3,31,agriculture,12,Biomasse,2019,kWh,1,appliance,5,process_heating,0
3,31,agriculture,12,Biomasse,2019,kWh,3,space heating,6,space_heating,21837485393
3,31,agriculture,12,Biomasse,2019,kWh,1,appliance,7,process_cooling,0
3,31,agriculture,12,Biomasse,2019,kWh,2,space cooling,8,space_cooling,0
3,31,agriculture,14,erneuerbare Energien,2019,kWh,1,appliance,1,lighting,0
3,31,agriculture,14,erneuerbare Energien,2019,kWh,1,appliance,2,ICT,0
3,31,agriculture,14,erneuerbare Energien,2019,kWh,1,appliance,3,mechanical_energy,0
3,31,agriculture,14,erneuerbare Energien,2019,kWh,4,domestic hot water,4,hot_water,9914952.939
3,31,agriculture,14,erneuerbare Energien,2019,kWh,1,appliance,5,process_heating,0
