id_region,id_heating_system,id_heating_technology,year,building_number,share_percentage
901,2,21,2023,622500,249
901,2,22,2023,972500,389
901,2,23,2023,127500,51
901,2,250,2023,160000,64
901,2,299,2023,52500,21
901,1,11,2023,127500,51
901,3,31,2023,132500,53
901,4,46,2023,100000,4
901,4,43,2023,35000,14
901,4,41,2023,57500,23
901,4,42,2023,42500,17
901,4,45,2023,7500,3
901,4,44,2023,62500,25
901,2,21,2019,655000,262
901,2,22,2019,1017500,407
901,2,23,2019,90000,36
901,2,250,2019,65000,26
901,2,299,2019,130000,52
901,1,11,2019,152500,61
901,3,31,2019,107500,43
901,4,46,2019,95000,38
901,4,43,2019,35000,14
901,4,41,2019,102500,41
901,4,42,2019,30000,12
901,4,45,2019,7500,3
901,4,44,2019,15000,6
902,2,21,2023,1030400,322
902,2,22,2023,1241600,388
902,2,23,2023,112000,35
902,2,250,2023,185600,58
902,2,299,2023,51200,16
902,1,11,2023,185600,58
902,3,31,2023,137600,43
902,4,46,2023,118400,37
902,4,43,2023,60800,19
902,4,41,2023,6400,2
902,4,42,2023,0,0
902,4,45,2023,35200,11
902,4,44,2023,35200,11
902,2,21,2019,1068800,334
902,2,22,2019,1276800,399
902,2,23,2019,115200,36
902,2,250,2019,124800,39
902,2,299,2019,51200,16
902,1,11,2019,192000,6
902,3,31,2019,108800,34
902,4,46,2019,96000,3
902,4,43,2019,6400,2
902,4,41,2019,73600,23
902,4,42,2019,9600,3
902,4,45,2019,28800,9
902,4,44,2019,41600,13
903,2,21,2023,68400,228
903,2,22,2023,54900,183
903,2,23,2023,12300,41
903,2,250,2023,9000,3
903,2,299,2023,21900,73
903,1,11,2023,90300,301
903,3,31,2023,36600,122
903,4,46,2023,300,1
903,4,43,2023,300,1
903,4,41,2023,3300,11
903,4,42,2023,0,0
903,4,45,2023,2100,7
903,4,44,2023,600,2
903,2,21,2019,68400,228
903,2,22,2019,54300,181
903,2,250,2019,12000,4
903,2,23,2019,4800,16
903,2,299,2019,17100,57
903,1,11,2019,109500,365
903,3,31,2019,27900,93
903,4,46,2019,900,3
903,4,41,2019,3000,1
903,4,42,2019,1200,4
903,4,43,2019,0,0
903,4,45,2019,900,3
903,4,44,2019,300,1
904,2,21,2023,281400,402
904,2,22,2023,127400,182
904,2,23,2023,25900,37
904,2,250,2023,42700,61
904,2,299,2023,98700,141
904,1,11,2023,36400,52
904,3,31,2023,54600,78
904,4,46,2023,1400,2
904,4,43,2023,2100,3
904,4,41,2023,11200,16
904,4,42,2023,0,0
904,4,45,2023,4200,6
904,4,44,2023,14000,2
904,2,21,2019,300300,429
904,2,22,2019,135100,193
904,2,250,2019,68600,98
904,2,23,2019,2100,3
904,2,299,2019,70700,101
904,1,11,2019,46900,67
904,3,31,2019,44100,63
904,4,46,2019,25200,36
904,4,41,2019,3500,5
904,4,42,2019,0,0
904,4,43,2019,0,0
904,4,45,2019,700,1
904,4,44,2019,2100,3
905,2,21,2023,36300,363
905,2,22,2023,16000,16
905,2,23,2023,4600,46
905,2,250,2023,16200,162
905,2,299,2023,11000,11
905,1,11,2023,6500,65
905,3,31,2023,8600,86
905,4,46,2023,100,1
905,4,43,2023,0,0
905,4,41,2023,700,7
905,4,42,2023,0,0
905,4,45,2023,0,0
905,4,44,2023,100,1
905,2,21,2019,38900,389
905,2,22,2019,17000,17
905,2,250,2019,4100,41
905,2,23,2019,1400,14
905,2,299,2019,22100,221
905,1,11,2019,8500,85
905,3,31,2019,7000,7
905,4,46,2019,200,2
905,4,41,2019,500,5
905,4,42,2019,0,0
905,4,43,2019,200,2
905,4,45,2019,0,0
905,4,44,2019,0,0
906,2,21,2023,81300,271
906,2,22,2023,59700,199
906,2,23,2023,7800,26
906,2,250,2023,18900,63
906,2,299,2023,13800,46
906,1,11,2023,92400,308
906,3,31,2023,16200,54
906,4,46,2023,2100,7
906,4,43,2023,600,2
906,4,41,2023,4200,14
906,4,42,2023,0,0
906,4,45,2023,0,0
906,4,44,2023,2100,7
906,2,21,2019,79800,266
906,2,22,2019,58200,194
906,2,250,2019,5700,19
906,2,23,2019,4500,15
906,2,299,2019,21600,72
906,1,11,2019,109800,366
906,3,31,2019,12000,4
906,4,46,2019,900,3
906,4,41,2019,300,1
906,4,42,2019,3600,12
906,4,43,2019,3000,1
906,4,45,2019,0,0
906,4,44,2019,300,1
907,2,21,2023,371000,265
907,2,22,2023,536200,383
907,2,23,2023,105000,75
907,2,250,2023,85400,61
907,2,299,2023,36400,26
907,1,11,2023,81200,58
907,3,31,2023,86800,62
907,4,46,2023,43400,31
907,4,43,2023,14000,1
907,4,41,2023,32200,23
907,4,42,2023,0,0
907,4,45,2023,0,0
907,4,44,2023,7000,5
907,2,21,2019,389200,278
907,2,22,2019,560000,40
907,2,250,2019,65800,47
907,2,23,2019,19600,14
907,2,299,2019,103600,74
907,1,11,2019,103600,74
907,3,31,2019,70000,5
907,4,46,2019,23800,17
907,4,41,2019,54600,39
907,4,42,2019,0,0
907,4,43,2019,8400,6
907,4,45,2019,0,0
907,4,44,2019,1400,1
908,2,21,2023,132400,331
908,2,22,2023,125200,313
908,2,23,2023,23200,58
908,2,250,2023,10000,25
908,2,299,2023,41600,104
908,1,11,2023,25200,63
908,3,31,2023,22400,56
908,4,46,2023,11600,29
908,4,43,2023,1200,3
908,4,41,2023,1200,3
908,4,42,2023,4400,11
908,4,45,2023,1600,4
908,4,44,2023,0,0
908,2,21,2019,139200,348
908,2,22,2019,130400,326
908,2,250,2019,33200,83
908,2,23,2019,15200,38
908,2,299,2019,13600,34
908,1,11,2019,32000,8
908,3,31,2019,18000,45
908,4,46,2019,3600,9
908,4,41,2019,11200,28
908,4,42,2019,0,0
908,4,43,2019,0,0
908,4,45,2019,2000,5
908,4,44,2019,800,2
909,2,21,2023,1315600,572
909,2,22,2023,409400,178
909,2,23,2023,43700,19
909,2,250,2023,98900,43
909,2,299,2023,98900,43
909,1,11,2023,112700,49
909,3,31,2023,174800,76
909,4,46,2023,6900,3
909,4,43,2023,0,0
909,4,41,2023,18400,8
909,4,42,2023,6900,3
909,4,45,2023,0,0
909,4,44,2023,16100,7
909,2,21,2019,1363900,593
909,2,22,2019,420900,183
909,2,250,2019,52900,23
909,2,23,2019,64400,28
909,2,299,2019,80500,35
909,1,11,2019,96600,42
909,3,31,2019,138000,6
909,4,46,2019,25300,11
909,4,41,2019,23000,1
909,4,42,2019,0,0
909,4,43,2019,25300,11
909,4,45,2019,0,0
909,4,44,2019,9200,4
910,2,21,2023,1764000,441
910,2,22,2023,1016000,254
910,2,23,2023,108000,27
910,2,250,2023,104000,26
910,2,299,2023,216000,54
910,1,11,2023,220000,55
910,3,31,2023,416000,104
910,4,46,2023,64000,16
910,4,43,2023,4000,1
910,4,41,2023,60000,15
910,4,42,2023,0,0
910,4,45,2023,0,0
910,4,44,2023,32000,8
910,2,21,2019,1848000,462
910,2,22,2019,1056000,264
910,2,250,2019,84000,21
910,2,23,2019,72000,18
910,2,299,2019,200000,5
910,1,11,2019,212000,53
910,3,31,2019,332000,83
910,4,46,2019,72000,18
910,4,41,2019,32000,8
910,4,42,2019,52000,13
910,4,43,2019,0,0
910,4,45,2019,0,0
910,4,44,2019,44000,11
911,2,21,2023,566400,472
911,2,22,2023,306000,255
911,2,23,2023,74400,62
911,2,250,2023,52800,44
911,2,299,2023,42000,35
911,1,11,2023,31200,26
911,3,31,2023,58800,49
911,4,46,2023,10800,9
911,4,43,2023,20400,17
911,4,41,2023,19200,16
911,4,42,2023,7200,6
911,4,45,2023,0,0
911,4,44,2023,9600,8
911,2,21,2019,594000,495
911,2,22,2019,318000,265
911,2,250,2019,46800,39
911,2,23,2019,24000,2
911,2,299,2019,70800,59
911,1,11,2019,27600,23
911,3,31,2019,46800,39
911,4,46,2019,32400,27
911,4,41,2019,36000,3
911,4,42,2019,4800,4
911,4,43,2019,0,0
911,4,45,2019,0,0
911,4,44,2019,0,0
912,2,21,2023,71100,237
912,2,22,2023,138600,462
912,2,23,2023,12300,41
912,2,250,2023,11700,39
912,2,299,2023,34500,115
912,1,11,2023,11700,39
912,3,31,2023,9300,31
912,4,46,2023,0,0
912,4,43,2023,300,1
912,4,41,2023,4200,14
912,4,42,2023,300,1
912,4,45,2023,0,0
912,4,44,2023,6000,2
912,2,21,2019,74400,248
912,2,22,2019,144000,48
912,2,250,2019,9900,33
912,2,23,2019,24000,8
912,2,299,2019,15000,5
912,1,11,2019,14700,49
912,3,31,2019,7500,25
912,4,46,2019,600,2
912,4,41,2019,900,3
912,4,42,2019,600,2
912,4,43,2019,6900,23
912,4,45,2019,300,1
912,4,44,2019,1500,5
913,2,21,2023,259200,324
913,2,22,2023,205600,257
913,2,23,2023,21600,27
913,2,250,2023,84000,105
913,2,299,2023,80800,101
913,1,11,2023,36800,46
913,3,31,2023,56000,7
913,4,46,2023,4000,5
913,4,43,2023,8800,11
913,4,41,2023,5600,7
913,4,42,2023,0,0
913,4,45,2023,11200,14
913,4,44,2023,26400,33
913,2,21,2019,276000,345
913,2,22,2019,217600,272
913,2,250,2019,24000,3
913,2,23,2019,40000,5
913,2,299,2019,95200,119
913,1,11,2019,47200,59
913,3,31,2019,45600,57
913,4,46,2019,27200,34
913,4,41,2019,800,1
913,4,42,2019,16800,21
913,4,43,2019,0,0
913,4,45,2019,8000,1
913,4,44,2019,1600,2
914,2,21,2023,328800,548
914,2,22,2023,85200,142
914,2,23,2023,17400,29
914,2,250,2023,39600,66
914,2,299,2023,24600,41
914,1,11,2023,25800,43
914,3,31,2023,43200,72
914,4,46,2023,600,1
914,4,43,2023,6000,1
914,4,41,2023,6000,1
914,4,42,2023,6000,1
914,4,45,2023,1800,3
914,4,44,2023,15000,25
