id_scenario,id_region,id_sector,id_subsector,year,id_building_type,id_building_location,heating_system_main_id_heating_technology,heating_system_main_space_heating_energy_carrier_1_id_energy_carrier,building_number
1,901,3,31,2019,7,1,23,12,15
1,901,3,31,2019,7,4,23,12,115
1,901,3,31,2019,7,5,23,12,68
1,901,3,31,2019,7,6,23,12,92
1,901,3,31,2019,13,1,11,13,15
1,901,3,31,2019,13,1,21,6,48.75
1,901,3,31,2019,13,1,22,2,96.80555556
1,901,3,31,2019,13,1,23,12,103.1722222
1,901,3,31,2019,13,1,24,19,25.2
1,901,3,31,2019,13,1,26,6,34
1,901,3,31,2019,13,1,28,12,25
1,901,3,31,2019,13,1,29,1,46.66666667
1,901,3,31,2019,13,1,31,6,52.95
1,901,3,31,2019,13,1,33,1,22
1,901,3,31,2019,13,1,41,6,44
1,901,3,31,2019,13,1,42,2,47
1,901,3,31,2019,13,1,44,6,71.22222223
1,901,3,31,2019,13,1,211,1,51.46666667
1,901,3,31,2019,13,2,21,6,49.6
1,901,3,31,2019,13,2,22,2,25.2
1,901,3,31,2019,13,2,23,12,100.0888889
1,901,3,31,2019,13,2,26,6,73.96666667
1,901,3,31,2019,13,2,27,2,8
1,901,3,31,2019,13,2,28,12,23
1,901,3,31,2019,13,2,29,1,50.35555556
1,901,3,31,2019,13,2,32,2,23.25
1,901,3,31,2019,13,2,33,1,127.5166667
1,901,3,31,2019,13,2,41,6,24.33333333
1,901,3,31,2019,13,2,42,2,55
1,901,3,31,2019,13,2,43,12,45.86666667
1,901,3,31,2019,13,2,45,3,47.35555556
1,901,3,31,2019,13,2,211,1,51.25
1,901,3,31,2019,13,3,23,12,46.16666667
1,901,3,31,2019,13,3,29,1,68.36666667
1,901,3,31,2019,13,3,33,1,40.75
1,901,3,31,2019,13,3,41,6,21
1,901,3,31,2019,13,3,43,12,23.25
1,901,3,31,2019,13,3,44,6,24.6
1,901,3,31,2019,13,3,46,1,28.66666667
1,901,3,31,2019,13,3,210,1,36
1,901,3,31,2019,13,3,211,1,50.16666667
1,901,3,31,2019,13,4,21,6,280.4388889
1,901,3,31,2019,13,4,22,2,24.55555556
1,901,3,31,2019,13,4,23,12,124.3333333
1,901,3,31,2019,13,4,26,6,45.5
1,901,3,31,2019,13,4,27,2,23.8
1,901,3,31,2019,13,4,28,12,26
1,901,3,31,2019,13,4,29,1,196.9222222
1,901,3,31,2019,13,4,33,1,21.66666667
1,901,3,31,2019,13,4,41,6,28
