id_region,id_sector,id_subsector,id_end_use,id_energy_carrier,unit,year,value
9,6,61,1,1,kWh/person,2010,1293.616847
9,6,61,1,1,kWh/person,2011,1288.141852
9,6,61,1,1,kWh/person,2012,1283.009234
9,6,61,1,1,kWh/person,2013,1277.836913
9,6,61,1,1,kWh/person,2014,1272.676736
9,6,61,1,1,kWh/person,2015,1267.462712
9,6,61,1,1,kWh/person,2016,1262.332475
9,6,61,1,1,kWh/person,2017,1257.242369
9,6,61,1,1,kWh/person,2018,1252.06109
9,6,61,1,1,kWh/person,2019,1246.917664
9,6,61,1,1,kWh/person,2020,1241.772372
9,6,61,1,1,kWh/person,2021,1236.614509
9,6,61,1,1,kWh/person,2022,1227.200193
9,6,61,1,1,kWh/person,2023,1230.591396
9,6,61,1,1,kWh/person,2024,1229.890761
9,6,61,1,1,kWh/person,2025,1225.171085
9,6,61,1,1,kWh/person,2026,1214.251374
9,6,61,1,1,kWh/person,2027,1211.485487
9,6,61,1,1,kWh/person,2028,1200.411682
9,6,61,1,1,kWh/person,2029,1198.40385
9,6,61,1,1,kWh/person,2030,1190.856179
9,6,61,1,1,kWh/person,2031,1182.366769
9,6,61,1,1,kWh/person,2032,1177.796251
9,6,61,1,1,kWh/person,2033,1168.719023
9,6,61,1,1,kWh/person,2034,1161.315903
9,6,61,1,1,kWh/person,2035,1155.70295
9,6,61,1,1,kWh/person,2036,1152.302537
9,6,61,1,1,kWh/person,2037,1143.467126
9,6,61,1,1,kWh/person,2038,1134.215899
9,6,61,1,1,kWh/person,2039,1134.777076
9,6,61,1,1,kWh/person,2040,1129.298734
9,6,61,1,1,kWh/person,2041,1123.731
9,6,61,1,1,kWh/person,2042,1116.768008
9,6,61,1,1,kWh/person,2043,1110.622282
9,6,61,1,1,kWh/person,2044,1104.232611
9,6,61,1,1,kWh/person,2045,1097.770326
9,6,61,1,1,kWh/person,2046,1095.410896
9,6,61,1,1,kWh/person,2047,1093.047018
9,6,61,1,1,kWh/person,2048,1096.104043
9,6,61,1,1,kWh/person,2049,1094.213146
9,6,61,1,1,kWh/person,2050,1092.109214
9,6,61,1,6,kWh/person,2010,19.16026559
9,6,61,1,6,kWh/person,2011,18.81261934
9,6,61,1,6,kWh/person,2012,18.47330012
9,6,61,1,6,kWh/person,2013,18.13009487
9,6,61,1,6,kWh/person,2014,17.79037884
9,6,61,1,6,kWh/person,2015,17.44665681
9,6,61,1,6,kWh/person,2016,17.10736057
9,6,61,1,6,kWh/person,2017,16.76858813
9,6,61,1,6,kWh/person,2018,16.42532431
9,6,61,1,6,kWh/person,2019,16.08578331
9,6,61,1,6,kWh/person,2020,15.74298927
9,6,61,1,6,kWh/person,2021,15.40329949
