timestamp,memory_usage_gb,unit
2024-04-03 11:54:19,0.031,GB
2024-04-03 11:54:21,0.031,GB
2024-04-03 11:54:23,0.031,GB
2024-04-03 11:54:24,0.03,GB
2024-04-03 11:54:26,0.03,GB
2024-04-03 11:54:27,0.031,GB
2024-04-03 11:54:29,0.03,GB
2024-04-03 11:54:30,0.031,GB
2024-04-03 11:54:32,0.031,GB
2024-04-03 11:54:33,0.031,GB
2024-04-03 11:54:34,0.031,GB
2024-04-03 11:54:36,0.031,GB
2024-04-03 11:54:37,0.031,GB
2024-04-03 11:54:40,0.031,GB
2024-04-03 11:54:41,0.056,GB
2024-04-03 11:54:43,0.083,GB
2024-04-03 11:54:44,0.111,GB
2024-04-03 11:54:46,0.13,GB
2024-04-03 11:54:47,0.146,GB
2024-04-03 11:54:49,0.158,GB
2024-04-03 11:54:50,0.173,GB
2024-04-03 11:54:52,0.031,GB
2024-04-03 11:54:53,0.031,GB
2024-04-03 11:54:54,0.031,GB
2024-04-03 11:54:56,0.031,GB
2024-04-03 11:54:57,0.031,GB
2024-04-03 11:54:58,0.031,GB
2024-04-03 11:55:00,0.031,GB
2024-04-03 11:55:01,0.031,GB
2024-04-03 11:55:02,0.031,GB
2024-04-03 11:55:04,0.031,GB
2024-04-03 11:55:05,0.031,GB
2024-04-03 11:55:06,0.031,GB
2024-04-03 11:55:08,0.031,GB
2024-04-03 11:55:09,0.053,GB
2024-04-03 11:55:10,0.11,GB
2024-04-03 11:55:12,0.151,GB
2024-04-03 11:55:14,0.387,GB
2024-04-03 11:55:16,0.569,GB
2024-04-03 11:55:17,0.721,GB
2024-04-03 11:55:19,0.82,GB
2024-04-03 11:55:20,0.834,GB
2024-04-03 11:55:22,0.864,GB
2024-04-03 11:55:23,0.905,GB
2024-04-03 11:55:25,0.916,GB
2024-04-03 11:55:26,0.942,GB
2024-04-03 11:55:28,0.94,GB
2024-04-03 11:55:29,0.991,GB
2024-04-03 11:55:31,0.995,GB
2024-04-03 11:55:32,1.018,GB
2024-04-03 11:55:34,1.017,GB
2024-04-03 11:55:35,1.023,GB
2024-04-03 11:55:37,1.025,GB
2024-04-03 11:55:38,0.985,GB
2024-04-03 11:55:39,0.998,GB
2024-04-03 11:55:41,1.016,GB
2024-04-03 11:55:42,1.039,GB
2024-04-03 11:55:44,1.061,GB
2024-04-03 11:55:45,1.149,GB
2024-04-03 11:55:47,1.13,GB
2024-04-03 11:55:48,1.158,GB
2024-04-03 11:55:50,1.233,GB
2024-04-03 11:55:51,1.297,GB
2024-04-03 11:55:53,1.356,GB
2024-04-03 11:55:54,1.392,GB
2024-04-03 11:55:55,1.294,GB
2024-04-03 11:55:57,1.302,GB
2024-04-03 11:55:58,1.307,GB
